,title,Topic,Korean,English
0,우리들의 블루스,3,이 화려한 캐스팅 라인업을 보고 안 볼 수가 있나,Can't you see this colorful cast lineup?
1,사내 맞선,3,스트레스 없는 드라마 오랜만이다. 전개도 시원시원하게 빠르고 캐스팅이 완벽함,It's been a long time since the drama without stress. A cool start and perfect cast
2,스물다섯 스물하나,4,이런 사랑도 있다고 계속 설득하다가 결국 이런 사랑도 이별할 땐 그저 그런 사랑이 되고 말았다,"I continued to persuade you that there was love like this, but when I finally broke up with this love, I just became such a love."
3,시맨틱 에러,2,과거 장르는 우울한 분위기들이 많아서 관심이 안 갔는데 너무 좋다,"The genre in the past has a lot of depression, so I'm not interested in it, but it's too good."
4,악의 마음을 읽는 자들,1,악은 사라지지 않는다 또 다른 형태로 우리에게 나타날 뿐,"The evil doesn't disappear, it only appears to us in another form."
5,나의 아저씨,4,차가운 삶에 온기를 전해주는 인생드라마,A life drama that delivers warmth to a cold life
6,소년심판,2,우리가 한번은 들어봤었던 이슈를 잘 표현해 준 것 같고 판사 개개인에 감정씬도 몰입도가 높았다,"I think we've expressed the issues we've heard before, and the individual judges were also highly immersive."
7,비밀의 숲,2,이 작품을 본 후에 드라마를 더 이상 못 보겠다. 완벽한 작품을 보고 수준이 올라갔다.,I can't see the drama anymore after watching this work. The level went up when I saw the perfect work.
8,멜로가 체질,2,감독의 역량이 스토리와 대사 캐릭터로 완벽하게 표현된 드라마,A drama in which the director's abilities are perfectly expressed as stories and lines.
9,괴물,3,특히 조연 배우들의 연기가 좋았다,Particularly the performance of the cast actors was good.
10,모범택시,2,중반부의 루즈함을 점차 조이면서 소재가 갖는 좋은 점들을 팽팽하게 펴내기 시작했다,"It began to tighten the good points of the material, gradually tightening the middle of the line."
11,미스터 션샤인,2,암흑의 시대에도 불꽃 같은 사람들이 있었음을. 어차피 피었다 질 꽃이면 제일 뜨거운 불꽃이고 싶었다. 영상 진짜 최고다,"Even in the dark age, there were people like fireworks. I wanted to be the hottest fire if it was the flowers that had grown and lost. The video is really the best."
12,트레이서,2,스피디한 활극의 재미 국세청 소재도 독특,The fun of rapid development and the National Tax Service were also unique.
13,술꾼도시여자들,2,일주일에 몇 번씩 보던 술친구들이 있었다면 웃음지으며 추억해 볼 만한 작품,"If you have drunk friends who have seen several times a week, you can remember it with laughter."
14,라이프 온 마스,2,작가의 천국에 대한 표현에 동의한다,I agree with the writer's expression of heaven.
15,해피니스,2,현실 이야기 현실이 아닌 이야기 다 품고 있다,"It's all about reality, not reality."
16,태종 이방원,2,작정하고 만드는구나 욕심 같아서는 안재모의 이방원이 다시 보고 싶다,You're making up your mind. I'd like to see Ahn Jae-mo's Lee Bang-won again.
17,도시남녀의 사랑법,2,난 정현정 작가 스타일이 좋아서 별 불만 없이 잘 보는 중,"I like the style of writer Jung Hyun-jung, so I'm looking at it without any complaints."
18,검색어를 입력하세요 WWW,2,현실적이면서도 비현실적인 스토리와 아름다운 화면을 담은 재미있는 드라마,An interesting drama with realistic but unrealistic stories and beautiful screens
19,옷소매 붉은 끝동,4,이 순간이 변하지 않기를 이 순간이 영원하기를 그리하여 순간은 곧 영원이 되었다,"The moment soon became eternal, portraying this moment will not change."
20,악의 꽃,2,예상치도 못한 반전에 뒤통수 조심,"An unexpected turnaround, careful back of the head"
21,런 온,2,이 드라마의 큰 장점인 재치 있는 대사가 그 어떤 드라마들보다 캐릭터들의 생동감을 확실히 살려 준다,"A brilliant ambassador, the great advantage of this drama, certainly helps the character's vitality than any other drama."
22,손 the guest,2,참신한 소재이면서 더 긴 호흡을 가능케 하는 구성이어서 흥미로웠다,It was interesting because it was a fresh material that made it possible to breathe longer.
23,"서른, 아홉",2,불륜 소재 끌고 온 건 도저히 용납이 안 되지만 그럼에도 불구하고 매화가 궁금하고 아주 몰입해서 울고 웃고 하며 보는 중,"It's unacceptable to bring the affair material, but still, I'm curious about each episode and I'm very immersive to cry, laugh and see it."
24,슬기로운 의사생활,2,캐릭터 관계성 모두 좋다 그래서 빠져들고 밤도 새고 정말 재밌게 봤다,All the character relationships are good. So I fell in love with it and stayed up all night watching it
25,D.P.,1,군대는 너무 잔인하고 잔혹하다 탈영병들의 사정이 너무 딱하다 그들의 죽음을 보는 심정은 어떨까,The army is cruel and cruel. The situation of the elite soldiers is so sad. How does it feel to see their deaths?
26,사랑의 불시착,4,세상에서 제일 만나기 어려운 두 사람의 사랑 이야기를 완벽하게 풀어낸 수작,The perfect story of love between the two who are most difficult to meet in the world
27,스토브리그,2,그저 그런 스포츠 드라마인 줄 알았더만 그 이상의 이상과 현실이 담겨져 있었다,I thought it was just a sports drama. There was more than that and more reality.
28,왓쳐,1,반란 마지막의 마지막의 마지막까지 재밌음,fun to the end of the rebellion
29,그림자 미녀,3,심달기 배우 연기는 진짜 극중 캐릭터랑 너무 너무 잘 어울림,the actor's performance goes too well with a real character
30,동백꽃 필 무렵,2,캐릭터들의 매력과 호연이 스릴러가 있음에도 힐링을 선사한다,The charm and performance of the characters provide healing even though they have a thriller.
31,백일의 낭군님,3,어느 배우 한 명도 조연으로 느껴지지 않은 캐릭터 하나하나 매력적인 드라마,Each and every character that doesn't seem like a supporting role is an attractive drama
32,어느 날 우리 집 현관으로 멸망이 들어왔다,3,이수혁 배우님의 연기를 볼 수있어서 넘넘 좋아요,I'm so happy to see actor Lee Soo-hyuk's performance.
33,카이로스,2,극 초반 중반 후반 모두 너무 탄탄하고 진짜 매회 반전이라 진짜 헉 하면서 봄,"In the beginning, in the middle, and in the second half of the play, it's all so solid and real every time"
34,보좌관 - 세상을 움직이는 사람들,2,현실적 이야기의 비현실적 결론 그러나 좋은 시도,The unrealistic conclusion of the story. But a good attempt
35,기름진 멜로,3,연기하는 이준호가 좋다 정려원도 장혁 연기 솔직히 별로 안 좋아했었는데 이 드라마로 다시 보게 됐다,"Lee Jun-ho, who plays, is good. Chung Ryo-won and Jang Hyuk weren't very fond of acting, but I saw it again in this drama."
36,새빛남고 학생회,2,중간중간에 빡치긴 했지만 재미는 있음,"I was angry in the middle, but it was fun."
37,김비서가 왜 그럴까,2,현실 도피처 제대로인 환타지 드라마,A fantasy drama that is a real hideout
38,부부의 세계,2,매회가 충격 너무 소스가 강해서 앞으로 볼 다른 드라마가 싱거울까 걱정된다,Every episode is shocking. It's so strong that I'm worried that other dramas will be boring in the future.
39,그녀의 사생활,2,다른 건 모르겠고 홈마 이야기를 다룰 때 제일 흥미로웠다 나도 누군가의 덕후니까,"I didn't know anything else, and it was the most interesting when I was dealing with homema. I like someone, too."
40,로스쿨,2,익숙함 속에서 변주된 사건사고를 찾아낼 때마다 짜릿했다,It was exciting every time I found an incident in my familiar condition.
41,구경이,2,그저 감탄할 수밖에 감사합니다,I'm just grateful to you.
42,무브 투 헤븐: 나는 유품정리사입니다,2,따스한 분위기에 좋은 내용이었다,It was a warm atmosphere and a good story.
43,마우스,2,이렇게도 많은 캐릭터들이 비극적일 수 있나 진짜 보는 내내 두통심장 아픈 드라마,Can so many characters be tragic? my headaches all the time. My heart hurts.
44,하늘에서 내리는 1억개의 별,2,매회 섬세한 감정선들이 좋았다,Every time the delicate emotional lines were good.
45,오징어 게임,2,전체적인 스토리가 잘 짜여 있고 작품 화면에 담기는 배경 화면의 미장셴이 매우 훌륭하다,The overall story is well-organized and the beauty of the background screen on the screen is very good.
46,킹덤,2,영상미랑 의상 소품 보는 재미가 있었다,"There was fun watching video beauty, costumes, and props."
47,SKY 캐슬,1,마지막편으로 말이 많은데 난 다들 울던 그 어떤 회차보다 다들 웃던 마지막이 좋았다,"There was a lot of talk on the last episode, but I liked the last time everyone was laughing at me than any other time they were crying."
48,호텔 델루나,3,지은이 연기가 많이 늘었네 지은이가 다했다,Ji-eun's acting has increased a lot. Ji-eun did her best.
49,갯마을 차차차,2,극을 이루는 동선이 짧기 때문에 촬영지인 포항을 갔다 오면 마치 현장에 있는 것 같은 기분을 느낄 수 있음,"Since the play is short, you can feel like you're at the scene when you come to Pohang, the filming site."
50,아는 와이프,2,출연진 덕분에 여름 특유의 선선함이 좋아서 끝까지 봤다,"Thanks to the cast, I've seen the summer's unique coolness."
51,원 더 우먼,1,남자 말고 돈과 권력 갖고 싸우는 여여 구조 최고,women and women fighting with money and power other than men
52,보이스,3,박병은 배우가 해서 더 좋았음 김재욱이랑은 다른 매력,Park Byung-eun was better off as an actor Kim Jae-wook's different charm
53,오월의 청춘,4,이 시절 이야기는 계속해서 나왔으면 싶다 잃어버리지 않기 위함과 누구나 다 알았으면 하는 바램으로,I want to keep talking about this time of year. I hope everyone will find out about it and not to lose it.
54,이 구역의 미친 X,2,치유도 로맨틱도 코미디도 다 잘 했어요,"Healing, romantic, and comedy were all good."
55,라켓소년단,2,따뜻하고 기분이 너무나 좋아지는 드라마 그런데 말이야 디테일과 연출력도 디지네디져,Warm and feeling so good. Details and production are good.
56,마녀식당으로 오세요,4,인생의 단면만 보고 판단하지마 끝까지 지켜봐 행복일지 아닐지 인생은 길게 보는 거야 인내심을 가지고 지켜봐,Don't judge by looking at the end of your life. Keep an eye on the end. Life looks long whether it's happy or not. Watch with patience.
57,지옥,2,어떠한 해석의 여지도 없이 창조주의 개입이 이처럼 직접적이고 실제적이라면 도대체 인류의 삶의 의미는 무엇일까,"If creator intervention is so direct and practical without any room for interpretation, what is the meaning of human life?"
58,인간수업,2,충분한 시도 돋보이는 캐릭터 기대 이상의 몰입감,Enough attempts. A remarkable character. More immersion than expected.
59,사이코지만 괜찮아,2,서로가 치유되고 치유받는 그 관계성이 좋았다 작품성 최고,"The relationship between each other healing and healing was good, and the best quality of work"
60,어쩌다 발견한 하루,4,어쩌다 발견한 운명적인 하루 돌고 돌아도 또 만날 하루,I'll see you another day when I look around the fate of my discovery.
61,낭만닥터 김사부 2,4,김사부는 역시 김사부였네요 사람이 사람답게 의사라면 이윤보다 환자를 생각하는,"The Kim Sa-bu was also a Kim Sasabu. If a person is a doctor like a person, he/she thinks of a patient rather than profit."
62,365 : 운명을 거스르는 1년,2,쫀쫀한 스토리 구성과 예측불허한 반전의 연속년의 내가 흠뻑 빠져들었던 드라마,A series of stories and unpredictable reversal. The drama I've been in love with
63,미스티,3,김남주 배우님을 오랜만에 봤는데 연기력과 비주얼이 정말 대단한 배우였다,"I've seen actor Kim Nam-joo for the first time in a long time, but his acting and visuals were really great actors."
64,대박부동산,2,첫 정식 빙의씬 장면이 제일 좋았음 구도 타이밍 액션까지 멋졌음,"The first official possession scene was the best. The composition, timing, and action were great."
65,산후조리원,1,엄마가 되는 것이 그저 기쁘기만 한 일이 아니라는 걸 때로는 슬프고 비참하기도 아프기도 한 일이라는 걸 아무도 말해주지 않았다,"No one ever told me that being a mother wasn't just a happy thing, sometimes it was sad and miserable or painful."
66,의사요한,2,처음에 세팅해 두었던 갈등에 비해 갈등을 너무 급하게 해결해 나가는 듯한 느낌이라 아쉽다. 대신에 드라마 속 캐릭터들은 모두 제각각 빛나고 아름답다,"It is regrettable that the conflict seems to be resolved too quickly compared to the conflict that was set for the first time. Instead, all the characters in the drama are brilliant and beautiful."
67,녹두꽃,4,글을 통해서만 알던 역사를 살아 움직이게 해 준 드라마,A drama that made history known only through writing move
68,안녕? 나야!,4,살아가다 보면 도망칠 수도 없는 고통과 마주할 때가 올 거야. 그럴 땐 두 눈을 꼭 감고 마음속으로 딱 셋까지만 세. 다시 눈을 뜨면 너는 조금 더 강한 사람이 돼 있을 거야.,"If you live, it's time to face the pain you can't run away. In that case, close your eyes and count to three in your heart. When you wake up again, you'll be a little stronger."
69,뷰티 인사이드,4,사랑도 사랑이지만 그 우정들이 더 부럽다,"Love is also love, but the friendship is more envyful."
70,라이브,2,주변에서 일어날 법한 일들과 그렇지 못한 인물들 극중 인물들을 보면서 어떻게 사람이 저렇게 빛이 날까 싶었다,I wondered how people would be so bright when I saw things that could happen around me and the characters in the play.
71,로맨스는 별책부록,4,로맨스와 책이라는 소재의 적절한 만남,an appropriate meeting of romance and book
72,유미의 세포들,2,작가의 상상력이 너무나도 놀랍고 너무나도 공감된다,The writer's imagination is so surprising and so empathy.
73,18 어게인,2,영화보다 한국판 드라마 리메이크가 더 재밌었다,The remake of Korean dramas was more fun than movies.
74,서른이지만 열일곱입니다,3,신혜선의 연기폭이 넓다고 생각됨 안 어울릴 거라 생각했는데 너무 잘 어울림,"I think Shin Hye-sun's acting range is wide. I thought it wouldn't fit, but it went too well."
75,"60일, 지정생존자",2,산만한 초반부에 비해 중반부부터 끝맺음까지는 극의 몰입도가 아주 뛰어났다,The immersion of the play was very good from the middle to the end compared to the fresh start.
76,하이에나,2,끝까지 각자의 캐릭터성을 잃지 않는 주인공들,the main characters who don't lose their character until the end
77,으라차차 와이키키,2,뭔가 유치하고 뻔할 수 있는 스토리지만 완전 웃김,"a story that can be attracting and obvious, but it's completely funny."
78,왕이 된 남자,3,여진구가 얼마나 연기를 잘하는지 깨닫게 된 작품,a work that realized how well Yeo Jin-gu is acting
79,한 번 다녀왔습니다,4,따뜻한 가족이야기,a warm family story
80,나빌레라,4,지금 이 시대 가장 필요한 어른의 모습 가장 필요한 젊은이들의 모습 가장 필요한 꿈,"the most necessary adult in this age, the most needed young people, and the most necessary dreams"
81,사의 찬미,2,영상이 너무 예쁘다 시대적 배경도 인물도 너무 좋다,The video is so beautiful. The backgrounds and figures of the times are too good.
82,특별근로감독관 조장풍,1,왜 세상에는 조장풍과 같은 사람이 적은 것인가 그래서 더 환호하게 만드는 유쾌함,Why are there few people like the tide wind in the world? the pleasure that makes you more cheering
83,"단, 하나의 사랑",3,신혜선 연기력으로 끌고 가는 드라마 신혜선 연기에 울고 웃기를 반복했다,This is a drama that leads to Shin Hye-sun's acting skills. Shin Hye-sun was crying and laughing.
84,이리와 안아줘,2,따뜻함과 음습함이 묘하게 공존하는 따뜻했던 드라마,a warm drama where warmth and humidity coexist
85,내 뒤에 테리우스,3,아역배우들은 귀욤귀욤해 주시고 주연 조연배우들은 연기 구멍 없이 꽉 채워 줬다,"The children's actors were cute, starring, and the cast members filled them up without a hole in their acting."
86,미치지 않고서야,4,사회의 맥을 이루는 사람들의 진짜 이야기,the true story of people in the context of society
87,자백,2,법의 모순을 교묘하게 활용한 반전으로 흥미로웠다,The reversal of the law's contradiction was interesting.
88,월간 집,3,김지석 코믹 연기물이 올랐네,Kim Ji-seok played well in comedy.
89,시를 잊은 그대에게,2,적어도 나한테 있어선 너무 완벽했던 힐링 드라마,at least a healing drama that was too perfect for me
90,본 대로 말하라,2,보이스 스핀오프 보이스의 장점과 단점을 고스란히 가져왔다,voice spinoff. It brought the strengths and weaknesses of voice.
91,작은 신의 아이들,2,나쁜 사람들을 벌주는 건 성경 속의 영웅이나 신이 아니야 용감하게 싸우는 사람들이지,Punishing bad people is not heroes or gods in the Bible.
